,cell_id,banksy_leiden_0.7
abacdgcj-1,abacdgcj-1,2
abacfmih-1,abacfmih-1,1
abachnhf-1,abachnhf-1,1
abaclobb-1,abaclobb-1,1
abadbdbl-1,abadbdbl-1,1
abadhhpd-1,abadhhpd-1,1
abaeiaob-1,abaeiaob-1,7
abaelimj-1,abaelimj-1,1
abaenaei-1,abaenaei-1,1
abafpjdc-1,abafpjdc-1,1
abagpnlc-1,abagpnlc-1,1
abahdcah-1,abahdcah-1,1
abahkhgf-1,abahkhgf-1,4
abahpbmg-1,abahpbmg-1,4
abahpjjd-1,abahpjjd-1,4
abaicbnk-1,abaicbnk-1,1
abajpjdg-1,abajpjdg-1,4
abakdmdh-1,abakdmdh-1,4
abakidpg-1,abakidpg-1,3
abakifka-1,abakifka-1,9
abakilof-1,abakilof-1,1
abalaepl-1,abalaepl-1,1
abamaepo-1,abamaepo-1,1
abambgec-1,abambgec-1,1
abamhelb-1,abamhelb-1,11
abananca-1,abananca-1,12
abanfekb-1,abanfekb-1,2
abanghaj-1,abanghaj-1,12
abankfmm-1,abankfmm-1,1
abanmiij-1,abanmiij-1,1
abanpkbg-1,abanpkbg-1,1
abaoagoa-1,abaoagoa-1,1
abaofdae-1,abaofdae-1,1
abaoifib-1,abaoifib-1,1
abaoohdg-1,abaoohdg-1,1
abaoojpb-1,abaoojpb-1,1
abapckoo-1,abapckoo-1,11
abapfkao-1,abapfkao-1,11
abapljib-1,abapljib-1,11
abapmnai-1,abapmnai-1,11
abbabhho-1,abbabhho-1,1
abbabnnc-1,abbabnnc-1,1
abbadkga-1,abbadkga-1,1
abbaeken-1,abbaeken-1,1
abbanmhb-1,abbanmhb-1,1
abbbdaoi-1,abbbdaoi-1,1
abbbejma-1,abbbejma-1,17
abbbhnkf-1,abbbhnkf-1,17
abbbkiel-1,abbbkiel-1,17
abbbnagd-1,abbbnagd-1,17
abbdkobd-1,abbdkobd-1,1
abbebnkh-1,abbebnkh-1,1
abbecjbc-1,abbecjbc-1,1
abbeokjc-1,abbeokjc-1,1
abbfclop-1,abbfclop-1,1
abbfeabp-1,abbfeabp-1,3
abbffpgc-1,abbffpgc-1,1
abbfhfpb-1,abbfhfpb-1,1
abbfidaa-1,abbfidaa-1,4
abbgeene-1,abbgeene-1,1
abbgjkba-1,abbgjkba-1,1
abbgkgih-1,abbgkgih-1,1
abbhahmo-1,abbhahmo-1,1
abbhgbkp-1,abbhgbkp-1,1
abbhgmoj-1,abbhgmoj-1,1
abbigjan-1,abbigjan-1,1
abbignja-1,abbignja-1,1
abbjdacj-1,abbjdacj-1,1
abbjopca-1,abbjopca-1,1
abbkgjgd-1,abbkgjgd-1,1
abbkkjcl-1,abbkkjcl-1,1
abbllgdd-1,abbllgdd-1,1
abbmhdfh-1,abbmhdfh-1,1
abbnijmj-1,abbnijmj-1,1
abbnmdkb-1,abbnmdkb-1,3
abboajmp-1,abboajmp-1,3
abbogkil-1,abbogkil-1,1
abbojjaf-1,abbojjaf-1,1
abbooikl-1,abbooikl-1,3
abbpcana-1,abbpcana-1,1
abcbhahd-1,abcbhahd-1,1
abcbjllm-1,abcbjllm-1,1
abccamfa-1,abccamfa-1,1
abccndkc-1,abccndkc-1,3
abccplci-1,abccplci-1,1
abcdlpga-1,abcdlpga-1,12
abceemob-1,abceemob-1,6
abceidaa-1,abceidaa-1,6
