,cell_id,banksy_leiden_0.7
aafojcgf-1,aafojcgf-1,10
aafokdjg-1,aafokdjg-1,10
aafpdphp-1,aafpdphp-1,10
aafpfoah-1,aafpfoah-1,10
aafploao-1,aafploao-1,10
aafpngka-1,aafpngka-1,10
aafpodgf-1,aafpodgf-1,10
aagaaooj-1,aagaaooj-1,10
aagaicip-1,aagaicip-1,10
aagaokgf-1,aagaokgf-1,10
aagbmdbb-1,aagbmdbb-1,10
aagbodgl-1,aagbodgl-1,10
aagcbedh-1,aagcbedh-1,4
aagccpbp-1,aagccpbp-1,4
aagdhlgf-1,aagdhlgf-1,10
aagdocja-1,aagdocja-1,10
aagdpdib-1,aagdpdib-1,10
aagedmmk-1,aagedmmk-1,10
aagefjfb-1,aagefjfb-1,10
aagegofi-1,aagegofi-1,10
aagejfaa-1,aagejfaa-1,10
aagekagl-1,aagekagl-1,10
aagemenj-1,aagemenj-1,10
aagendjl-1,aagendjl-1,10
aagfdlla-1,aagfdlla-1,10
aagflfop-1,aagflfop-1,10
aagfnokf-1,aagfnokf-1,10
aagfpgko-1,aagfpgko-1,10
aaggbnef-1,aaggbnef-1,10
aaggddon-1,aaggddon-1,10
aaggdjee-1,aaggdjee-1,10
aaggicne-1,aaggicne-1,10
aaggkpkc-1,aaggkpkc-1,10
aaggobbo-1,aaggobbo-1,10
aaggogef-1,aaggogef-1,10
aaghafgd-1,aaghafgd-1,10
aaghciak-1,aaghciak-1,10
aaghlkcc-1,aaghlkcc-1,10
aagimkhc-1,aagimkhc-1,10
aagiocac-1,aagiocac-1,4
aagjbpol-1,aagjbpol-1,10
aagjdieo-1,aagjdieo-1,10
aagjigak-1,aagjigak-1,4
aagjjind-1,aagjjind-1,10
aagjncne-1,aagjncne-1,10
aagkgilp-1,aagkgilp-1,10
aagkhpib-1,aagkhpib-1,10
aagkpffm-1,aagkpffm-1,10
aaglfpoo-1,aaglfpoo-1,10
aaglipdb-1,aaglipdb-1,10
aagljmie-1,aagljmie-1,10
aaglmkik-1,aaglmkik-1,10
aaglnfkc-1,aaglnfkc-1,10
aaglnila-1,aaglnila-1,10
aagmegha-1,aagmegha-1,10
aagnaiih-1,aagnaiih-1,10
aagncjnk-1,aagncjnk-1,10
aagnemae-1,aagnemae-1,10
aagnloho-1,aagnloho-1,10
aagnnoin-1,aagnnoin-1,10
aagoajga-1,aagoajga-1,10
aagodind-1,aagodind-1,10
aagohcon-1,aagohcon-1,10
aagokogl-1,aagokogl-1,10
aagolaej-1,aagolaej-1,10
aagoojif-1,aagoojif-1,10
aagpaigm-1,aagpaigm-1,10
aagpbidm-1,aagpbidm-1,10
aagpdhid-1,aagpdhid-1,10
aagpdjfi-1,aagpdjfi-1,10
aagpjldc-1,aagpjldc-1,10
aagpkood-1,aagpkood-1,10
aagpmchc-1,aagpmchc-1,10
aagpmlln-1,aagpmlln-1,10
aagpojic-1,aagpojic-1,10
aahaboep-1,aahaboep-1,10
aahamlia-1,aahamlia-1,10
aahanfee-1,aahanfee-1,10
aahanncl-1,aahanncl-1,10
aahanpoo-1,aahanpoo-1,10
aahapifd-1,aahapifd-1,10
aahbekpf-1,aahbekpf-1,10
aahbepcj-1,aahbepcj-1,10
aahbglig-1,aahbglig-1,10
aahbheii-1,aahbheii-1,10
aahbnijb-1,aahbnijb-1,10
aahbokgb-1,aahbokgb-1,10
aahcbekg-1,aahcbekg-1,10
aahccjoh-1,aahccjoh-1,10
aahchcbi-1,aahchcbi-1,10
aahckgkb-1,aahckgkb-1,10
aahcoigj-1,aahcoigj-1,10
aahcpamm-1,aahcpamm-1,10
aahdbejb-1,aahdbejb-1,10
aahdbhcj-1,aahdbhcj-1,10
aahdcjlk-1,aahdcjlk-1,10
aahdjdpl-1,aahdjdpl-1,10
aahdllii-1,aahdllii-1,10
aahdloag-1,aahdloag-1,10
aahdoohd-1,aahdoohd-1,10
aahdoplg-1,aahdoplg-1,10
aaheeoca-1,aaheeoca-1,10
aahelkpe-1,aahelkpe-1,10
aahemcfe-1,aahemcfe-1,10
aahepaik-1,aahepaik-1,10
